text,author,class,word_count,topic,sample_id
"The remains of my poor sister had been brought round by the kitchen door, and, it being a point of Undertaking ceremony that the six bearers must be stifled and blinded under a horrible black velvet housing with a white border, the whole looked like a blind monster with twelve human legs, shuffling and blundering along, under the guidance of two keepers, the postboy and his comrade. The neighbourhood, however, highly approved of these arrangements, and we were much admired as we went through the village; the more youthful and vigorous part of the community making dashes now and then to cut us off, and lying in wait to intercept us at points of vantage.",Dickens,human,115,The Impact of Childhood Trauma,human_0122
"Her heart had been but slightly touched, and her vanity was satisfied with believing that she would have been his only choice, had fortune permitted it. The sudden acquisition of ten thousand pounds was the most remarkable charm of the young lady to whom he was now rendering himself agreeable; but Elizabeth, less clear-sighted perhaps in this case than in Charlotte's, did not quarrel with him for his wish of independence. Nothing, on the contrary, could be more natural; and, while able to suppose that it cost him a few struggles to relinquish her, she was ready to allow it a wise and desirable measure for both, and could very sincerely wish him happy.",Austen,human,114,Appearance Versus Reality,human_0123
"My watchfulness has been effectual; and though I should certainly be a more interesting object to all my acquaintance, were I distractedly in love with him, I cannot say that I regret my comparative insignificance. Importance may sometimes be purchased too dearly. Kitty and Lydia take his defection much more to heart than I do. They are young in the ways of the world, and not yet open to the mortifying conviction that handsome young men must have something to live on as well as the plain.” With no greater events than these in the Longbourn family, and otherwise diversified by little beyond the walks to Meryton, sometimes dirty and sometimes cold, did January and February pass away.",Austen,human,118,Social Class and Mobility,human_0124
"In as short a time as Mr. Collins's long speeches would allow, everything was settled between them to the satisfaction of both; and as they entered the house, he earnestly entreated her to name the day that was to make him the happiest of men; and though such a solicitation must be waived for the present, the lady felt no inclination to trifle with his happiness. The stupidity with which he was favoured by nature must guard his courtship from any charm that could make a woman wish for its continuance; and Miss Lucas, who accepted him solely from the pure and disinterested desire of an establishment, cared not how soon that establishment were gained.",Austen,human,115,Gender Roles and Expectations,human_0125
"After that, he drank all the rest of the sherry, and Mr. Hubble drank the port, and the two talked (which I have since observed to be customary in such cases) as if they were of quite another race from the deceased, and were notoriously immortal. Finally, he went away with Mr. and Mrs. Hubble, to make an evening of it, I felt sure, and to tell the Jolly Bargemen that he was the founder of my fortunes and my earliest benefactor. When they were all gone, and when Trabb and his men but not his Boy; I looked for him had crammed their mummery into bags, and were gone too, the house felt wholesomer.",Dickens,human,115,The Impact of Childhood Trauma,human_0126
"The chief of every day was spent by him at Lucas Lodge, and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed. Mrs. Bennet was really in a most pitiable state. The very mention of anything concerning the match threw her into an agony of ill-humour, and wherever she went she was sure of hearing it talked of. The sight of Miss Lucas was odious to her. As her successor in that house, she regarded her with jealous abhorrence. Whenever Charlotte came to see them, she concluded her to be anticipating the hour of possession; and whenever she spoke in a low voice to Mr. Collins, was convinced that they were talking of the Longbourn estate, and resolving to turn herself and her daughters out of the house as soon as Mr. Bennet was dead.",Austen,human,147,The Power of Social Expectations,human_0127
"Mr. Bingley was good-looking and gentlemanlike: he had a pleasant countenance, and easy, unaffected manners. His sisters were fine women, with an air of decided fashion. His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report, which was in general circulation within five minutes after his entrance, of his having ten thousand a year. The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud, to be above his company, and above being pleased; and not all his large estate in Derbyshire could save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.",Austen,human,167,Appearance Versus Reality,human_0128
"When I had been in Mr. Pocket's family a month or two, Mr. and Mrs. Camilla turned up. Camilla was Mr. Pocket's sister. Georgiana, whom I had seen at Miss Havisham's on the same occasion, also turned up. She was a cousin, an indigestive single woman, who called her rigidity religion, and her liver love. These people hated me with the hatred of cupidity and disappointment. As a matter of course, they fawned upon me in my prosperity with the basest meanness. Towards Mr. Pocket, as a grown-up infant with no notion of his own interests, they showed the complacent forbearance I had heard them express.",Dickens,human,106,The Impact of Childhood Trauma,human_0129
"Mrs. Collins, seeing that she was really unwell, did not press her to go, and as much as possible prevented her husband from pressing her; but Mr. Collins could not conceal his apprehension of Lady Catherine's being rather displeased by her staying at home. When they were gone, Elizabeth, as if intending to exasperate herself as much as possible against Mr. Darcy, chose for her employment the examination of all the letters which Jane had written to her since her being in Kent. They contained no actual complaint, nor was there any revival of past occurrences, or any communication of present suffering.",Austen,human,102,Gender Roles and Expectations,human_0130
"Elizabeth most thankfully consented, and a servant was despatched to Longbourn, to acquaint the family with her stay, and bring back a supply of clothes. At five o'clock the two ladies retired to dress, and at half-past six Elizabeth was summoned to dinner. To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley, she could not make a very favourable answer. Jane was by no means better. The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane, when not immediately before them, restored Elizabeth to the enjoyment of all her original dislike.",Austen,human,141,Appearance Versus Reality,human_0131
"I judged him to be a bachelor from the frayed condition of his linen, and he appeared to have sustained a good many bereavements; for he wore at least four mourning rings, besides a brooch representing a lady and a weeping willow at a tomb with an urn on it. I noticed, too, that several rings and seals hung at his watch-chain, as if he were quite laden with remembrances of departed friends. He had glittering eyes, small, keen, and black, and thin wide mottled lips. He had had them, to the best of my belief, from forty to fifty years.",Dickens,human,101,Gender Roles and Expectations,human_0132
"And he stirred it and he tasted it; not with a spoon that was brought to him, but with a file. He did this so that nobody but I saw the file; and when he had done it he wiped the file and put it in a breast-pocket. I knew it to be Joe's file, and I knew that he knew my convict, the moment I saw the instrument. I sat gazing at him, spell-bound. But he now reclined on his settle, taking very little notice of me, and talking principally about turnips. There was a delicious sense of cleaning-up and making a quiet pause before going on in life afresh, in our village on Saturday nights, which stimulated Joe to dare to stay out half an hour longer on Saturdays than at other times.",Dickens,human,135,Appearance Versus Reality,human_0133
"From the further disadvantage of Lydia's society she was of course carefully kept; and though Mrs. Wickham frequently invited her to come and stay with her, with the promise of balls and young men, her father would never consent to her going. Mary was the only daughter who remained at home; and she was necessarily drawn from the pursuit of accomplishments by Mrs. Bennet's being quite unable to sit alone. Mary was obliged to mix more with the world, but she could still moralize over every morning visit; and as she was no longer mortified by comparisons between her sisters' beauty and her own, it was suspected by her father that she submitted to the change without much reluctance.",Austen,human,119,Moral Development and Redemption,human_0134
"During dinner, Mr. Bennet scarcely spoke at all; but when the servants were withdrawn, he thought it time to have some conversation with his guest, and therefore started a subject in which he expected him to shine, by observing that he seemed very fortunate in his patroness. Lady Catherine de Bourgh's attention to his wishes, and consideration for his comfort, appeared very remarkable. Mr. Bennet could not have chosen better. Mr. Collins was eloquent in her praise. The subject elevated him to more than usual solemnity of manner; and with a most important aspect he protested that he had never in his life witnessed such behaviour in a person of rank--such affability and condescension, as he had himself experienced from Lady Catherine.",Austen,human,122,Appearance Versus Reality,human_0135
"This observation would not have prevented her from trying to talk to the latter, had they not been seated at an inconvenient distance; but she was not sorry to be spared the necessity of saying much: her own thoughts were employing her. She expected every moment that some of the gentlemen would enter the room: she wished, she feared, that the master of the house might be amongst them; and whether she wished or feared it most, she could scarcely determine. After sitting in this manner a quarter of an hour, without hearing Miss Bingley's voice, Elizabeth was roused by receiving from her a cold inquiry after the health of her family.",Austen,human,112,Social Class and Mobility,human_0136
"Their arrival was dreaded by the elder Miss Bennets--and Jane more especially, who gave Lydia the feelings which would have attended herself, had she been the culprit, and was wretched in the thought of what her sister must endure. The family were assembled in the breakfast-room to receive them. Smiles decked the face of Mrs. Bennet, as the carriage drove up to the door; her husband looked impenetrably grave; her daughters, alarmed, anxious, uneasy. Lydia's voice was heard in the vestibule; the door was thrown open, and she ran into the room. Her mother stepped forwards, embraced her, and welcomed her with rapture; gave her hand with an affectionate smile to Wickham, who followed his lady; and wished them both joy, with an alacrity which showed no doubt of their happiness.",Austen,human,131,Appearance Versus Reality,human_0137
"That his two sisters and Mr. Darcy, however, should have such an opportunity of ridiculing her relations was bad enough; and she could not determine whether the silent contempt of the gentleman, or the insolent smiles of the ladies, were more intolerable. The rest of the evening brought her little amusement. She was teased by Mr. Collins, who continued most perseveringly by her side; and though he could not prevail with her to dance with him again, put it out of her power to dance with others. In vain did she entreat him to stand up with somebody else, and offered to introduce him to any young lady in the room.",Austen,human,111,Appearance Versus Reality,human_0138
"It was clear that I must repair to our town next day, and in the first flow of my repentance, it was equally clear that I must stay at Joe's. But, when I had secured my box-place by to-morrow's coach, and had been down to Mr. Pocket's and back, I was not by any means convinced on the last point, and began to invent reasons and make excuses for putting up at the Blue Boar. I should be an inconvenience at Joe's; I was not expected, and my bed would not be ready; I should be too far from Miss Havisham's, and she was exacting and mightn't like it.",Dickens,human,109,The Search for Identity,human_0139
"It is natural that obligation should be felt, and if I could feel gratitude, I would now thank you. But I cannot--I have never desired your good opinion, and you have certainly bestowed it most unwillingly. I am sorry to have occasioned pain to anyone. It has been most unconsciously done, however, and I hope will be of short duration. The feelings which you tell me have long prevented the acknowledgment of your regard can have little difficulty in overcoming it after this explanation.” Mr. Darcy, who was leaning against the mantel-piece with his eyes fixed on her face, seemed to catch her words with no less resentment than surprise.",Austen,human,110,The Power of Social Expectations,human_0140
"Darcy was not of a disposition in which happiness overflows in mirth; and Elizabeth, agitated and confused, rather knew that she was happy than felt herself to be so; for, besides the immediate embarrassment, there were other evils before her. She anticipated what would be felt in the family when her situation became known: she was aware that no one liked him but Jane; and even feared that with the others it was a dislike which not all his fortune and consequence might do away. At night she opened her heart to Jane. Though suspicion was very far from Miss Bennet's general habits, she was absolutely incredulous here.",Austen,human,108,Social Class and Mobility,human_0141
"The white vapour of the kiln was passing from us as we went by, and as I had thought a prayer before, I thought a thanksgiving now. Entreating Herbert to tell me how he had come to my rescue, which at first he had flatly refused to do, but had insisted on my remaining quiet, I learnt that I had in my hurry dropped the letter, open, in our chambers, where he, coming home to bring with him Startop whom he had met in the street on his way to me, found it, very soon after I was gone. Its tone made him uneasy, and the more so because of the inconsistency between it and the hasty letter I had left for him.",Dickens,human,123,Social Class and Mobility,human_0142
"The distinction had, perhaps, been felt too strongly. It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a house about a mile from Meryton, denominated from that period Lucas Lodge; where he could think with pleasure of his own importance, and, unshackled by business, occupy himself solely in being civil to all the world. For, though elated by his rank, it did not render him supercilious; on the contrary, he was all attention to everybody. By nature inoffensive, friendly, and obliging, his presentation at St. James's had made him courteous.",Austen,human,110,Gender Roles and Expectations,human_0143
"For the rest, he was a young gentleman in a grey suit (when not denuded for battle), with his elbows, knees, wrists, and heels considerably in advance of the rest of him as to development. My heart failed me when I saw him squaring at me with every demonstration of mechanical nicety, and eyeing my anatomy as if he were minutely choosing his bone. I never have been so surprised in my life, as I was when I let out the first blow, and saw him lying on his back, looking up at me with a bloody nose and his face exceedingly fore-shortened.",Dickens,human,103,The Power of Social Expectations,human_0144
"Thieves and thief-takers hung in dread rapture on his words, and shrank when a hair of his eyebrows turned in their direction. Which side he was on I couldn't make out, for he seemed to me to be grinding the whole place in a mill; I only know that when I stole out on tiptoe, he was not on the side of the bench; for, he was making the legs of the old gentleman who presided, quite convulsive under the table, by his denunciations of his conduct as the representative of British law and justice in that chair that day.",Dickens,human,100,Social Class and Mobility,human_0145
"It must be his own doing; he is his own master. But you do not know all. I will read you the passage which particularly hurts me. I will have no reserves from you. ‘Mr. Darcy is impatient to see his sister; and to confess the truth, we are scarcely less eager to meet her again. I really do not think Georgiana Darcy has her equal for beauty, elegance, and accomplishments; and the affection she inspires in Louisa and myself is heightened into something still more interesting from the hope we dare to entertain of her being hereafter our sister.",Austen,human,100,Social Class and Mobility,human_0146
"It seemed like wilful ill-nature, or a voluntary penance; for on these occasions it was not merely a few formal inquiries and an awkward pause and then away, but he actually thought it necessary to turn back and walk with her. He never said a great deal, nor did she give herself the trouble of talking or of listening much; but it struck her in the course of their third encounter that he was asking some odd unconnected questions--about her pleasure in being at Hunsford, her love of solitary walks, and her opinion of Mr. and Mrs. Collins's happiness; and that in speaking of Rosings, and her not perfectly understanding the house, he seemed to expect that whenever she came into Kent again she would be staying there too.",Austen,human,129,The Impact of Childhood Trauma,human_0147
"We looked forward to the day when I should go out for a ride, as we had once looked forward to the day of my apprenticeship. And when the day came, and an open carriage was got into the Lane, Joe wrapped me up, took me in his arms, carried me down to it, and put me in, as if I were still the small helpless creature to whom he had so abundantly given of the wealth of his great nature. And Joe got in beside me, and we drove away together into the country, where the rich summer growth was already on the trees and on the grass, and sweet summer scents filled all the air.",Dickens,human,117,The Search for Identity,human_0148
"But add the case that you had loved her, Pip, and had made her the subject of those ‘poor dreams' which have, at one time or another, been in the heads of more men than you think likely, then I tell you that you had better and would much sooner when you had thought well of it chop off that bandaged left hand of yours with your bandaged right hand, and then pass the chopper on to Wemmick there, to cut that off too.” I looked at Wemmick, whose face was very grave. He gravely touched his lips with his forefinger.",Dickens,human,101,Gender Roles and Expectations,human_0149
"Lakes, mountains, and rivers, shall not be jumbled together in our imaginations; nor, when we attempt to describe any particular scene, will we begin quarrelling about its relative situation. Let our first effusions be less insupportable than those of the generality of travellers.” Every object in the next day's journey was new and interesting to Elizabeth; and her spirits were in a state of enjoyment; for she had seen her sister looking so well as to banish all fear for her health, and the prospect of her northern tour was a constant source of delight. When they left the high road for the lane to Hunsford, every eye was in search of the Parsonage, and every turning expected to bring it in view.",Austen,human,123,The Power of Social Expectations,human_0150
"His circumstances, he assured me, and I had no difficulty in believing it, were exceedingly bad. He had found the law a most unprofitable study, and was now absolutely resolved on being ordained, if I would present him to the living in question--of which he trusted there could be little doubt, as he was well assured that I had no other person to provide for, and I could not have forgotten my revered father's intentions. You will hardly blame me for refusing to comply with this entreaty, or for resisting every repetition of it. His resentment was in proportion to the distress of his circumstances--and he was doubtless as violent in his abuse of me to others as in his reproaches to myself.",Austen,human,123,Gender Roles and Expectations,human_0151
"That he should even speak to her was amazing!--but to speak with such civility, to inquire after her family! Never in her life had she seen his manners so little dignified, never had he spoken with such gentleness as on this unexpected meeting. What a contrast did it offer to his last address in Rosings Park, when he put his letter into her hand! She knew not what to think, or how to account for it. They had now entered a beautiful walk by the side of the water, and every step was bringing forward a nobler fall of ground, or a finer reach of the woods to which they were approaching: but it was some time before Elizabeth was sensible of any of it; and, though she answered mechanically to the repeated appeals of her uncle and aunt, and seemed to direct her eyes to such objects as they pointed out, she distinguished no part of the scene.",Austen,human,159,The Power of Social Expectations,human_0152
"It was owing to him, to his reserve and want of proper consideration, that Wickham's character had been so misunderstood, and consequently that he had been received and noticed as he was. Perhaps there was some truth in this; though I doubt whether his reserve, or anybody's reserve can be answerable for the event. But in spite of all this fine talking, my dear Lizzy, you may rest perfectly assured that your uncle would never have yielded, if we had not given him credit for another interest in the affair. When all this was resolved on, he returned again to his friends, who were still staying at Pemberley; but it was agreed that he should be in London once more when the wedding took place, and all money matters were then to receive the last finish.",Austen,human,136,Social Class and Mobility,human_0153
"So anxiously looked forward to, charged with such consequences, its results so impenetrably hidden, though so near. No precaution could have been more obvious than our refraining from communication with him that day; yet this again increased my restlessness. I started at every footstep and every sound, believing that he was discovered and taken, and this was the messenger to tell me so. I persuaded myself that I knew he was taken; that there was something more upon my mind than a fear or a presentiment; that the fact had occurred, and I had a mysterious knowledge of it. As the days wore on, and no ill news came, as the day closed in and darkness fell, my overshadowing dread of being disabled by illness before to-morrow morning altogether mastered me.",Dickens,human,131,The Power of Social Expectations,human_0154
"In pursuance of this luminous conception I mentioned to Biddy when I went to Mr. Wopsle's great-aunt's at night, that I had a particular reason for wishing to get on in life, and that I should feel very much obliged to her if she would impart all her learning to me. Biddy, who was the most obliging of girls, immediately said she would, and indeed began to carry out her promise within five minutes. The Educational scheme or Course established by Mr. Wopsle's great-aunt may be resolved into the following synopsis. The pupils ate apples and put straws down one another's backs, until Mr. Wopsle's great-aunt collected her energies, and made an indiscriminate totter at them with a birch-rod.",Dickens,human,119,The Importance of Reputation,human_0155
"You must allow me to tell you how ardently I admire and love you.” Elizabeth's astonishment was beyond expression. She stared, coloured, doubted, and was silent. This he considered sufficient encouragement, and the avowal of all that he felt and had long felt for her immediately followed. He spoke well; but there were feelings besides those of the heart to be detailed, and he was not more eloquent on the subject of tenderness than of pride. His sense of her inferiority, of its being a degradation, of the family obstacles which judgment had always opposed to inclination, were dwelt on with a warmth which seemed due to the consequence he was wounding, but was very unlikely to recommend his suit.",Austen,human,120,Appearance Versus Reality,human_0156
"Lady Lucas herself has often said so, and envied me Jane's beauty. I do not like to boast of my own child; but to be sure, Jane--one does not often see anybody better looking. It is what everybody says. I do not trust my own partiality. When she was only fifteen there was a gentleman at my brother Gardiner's in town so much in love with her, that my sister-in-law was sure he would make her an offer before we came away. But, however, he did not. Perhaps he thought her too young. However, he wrote some verses on her, and very pretty they were.”",Austen,human,105,The Power of Social Expectations,human_0157
"He practised on her affection in that systematic way, that he got great sums of money from her, and he induced her to buy her brother out of a share in the brewery (which had been weakly left him by his father) at an immense price, on the plea that when he was her husband he must hold and manage it all. Your guardian was not at that time in Miss Havisham's counsels, and she was too haughty and too much in love to be advised by any one. Her relations were poor and scheming, with the exception of my father; he was poor enough, but not time-serving or jealous.",Dickens,human,110,The Impact of Childhood Trauma,human_0158
"She immediately felt that whatever desire Miss Darcy might have of being acquainted with her, must be the work of her brother, and without looking farther, it was satisfactory; it was gratifying to know that his resentment had not made him think really ill of her. They now walked on in silence; each of them deep in thought. Elizabeth was not comfortable; that was impossible; but she was flattered and pleased. His wish of introducing his sister to her was a compliment of the highest kind. They soon outstripped the others; and when they had reached the carriage, Mr. and Mrs. Gardiner were half a quarter of a mile behind.",Austen,human,110,Appearance Versus Reality,human_0159
"Poor Lydia's situation must, at best, be bad enough; but that it was no worse, she had need to be thankful. She felt it so; and though, in looking forward, neither rational happiness, nor worldly prosperity could be justly expected for her sister, in looking back to what they had feared, only two hours ago, she felt all the advantages of what they had gained. Mr. Bennet had very often wished, before this period of his life, that, instead of spending his whole income, he had laid by an annual sum, for the better provision of his children, and of his wife, if she survived him.",Austen,human,106,Gender Roles and Expectations,human_0160
"Among this good company I should have felt myself, even if I hadn't robbed the pantry, in a false position. Not because I was squeezed in at an acute angle of the tablecloth, with the table in my chest, and the Pumblechookian elbow in my eye, nor because I was not allowed to speak (I didn't want to speak), nor because I was regaled with the scaly tips of the drumsticks of the fowls, and with those obscure corners of pork of which the pig, when living, had had the least reason to be vain. No; I should not have minded that, if they would only have left me alone.",Dickens,human,110,Social Class and Mobility,human_0161
"When I had spoken to Biddy, as I thought it not a time for talking I went and sat down near Joe, and there began to wonder in what part of the house it she my sister was. The air of the parlour being faint with the smell of sweet-cake, I looked about for the table of refreshments; it was scarcely visible until one had got accustomed to the gloom, but there was a cut-up plum cake upon it, and there were cut-up oranges, and sandwiches, and biscuits, and two decanters that I knew very well as ornaments, but had never seen used in all my life; one full of port, and one of sherry.",Dickens,human,115,The Impact of Childhood Trauma,human_0162
"They agreed that Mrs. Bennet should only hear of the departure of the family, without being alarmed on the score of the gentleman's conduct; but even this partial communication gave her a great deal of concern, and she bewailed it as exceedingly unlucky that the ladies should happen to go away just as they were all getting so intimate together. After lamenting it, however, at some length, she had the consolation of thinking that Mr. Bingley would be soon down again, and soon dining at Longbourn; and the conclusion of all was the comfortable declaration, that, though he had been invited only to a family dinner, she would take care to have two full courses.",Austen,human,115,Family Duty and Loyalty,human_0163
"And Mr. Jaggers made not me alone intensely melancholy, because, after he was gone, Herbert said of himself, with his eyes fixed on the fire, that he thought he must have committed a felony and forgotten the details of it, he felt so dejected and guilty. Deeming Sunday the best day for taking Mr. Wemmick's Walworth sentiments, I devoted the next ensuing Sunday afternoon to a pilgrimage to the Castle. On arriving before the battlements, I found the Union Jack flying and the drawbridge up; but undeterred by this show of defiance and resistance, I rang at the gate, and was admitted in a most pacific manner by the Aged.",Dickens,human,110,Gender Roles and Expectations,human_0164
"That is to say, supposing I had had no expectations, and yet had had Estella to think of, I could not make out to my satisfaction that I should have done much better. Now, concerning the influence of my position on others, I was in no such difficulty, and so I perceived though dimly enough perhaps that it was not beneficial to anybody, and, above all, that it was not beneficial to Herbert. My lavish habits led his easy nature into expenses that he could not afford, corrupted the simplicity of his life, and disturbed his peace with anxieties and regrets.",Dickens,human,101,The Power of Social Expectations,human_0165
"I can remember no symptom of affection on either side; and had anything of the kind been perceptible, you must be aware that ours is not a family on which it could be thrown away. When first he entered the corps, she was ready enough to admire him; but so we all were. Every girl in or near Meryton was out of her senses about him for the first two months: but he never distinguished her by any particular attention; and, consequently, after a moderate period of extravagant and wild admiration, her fancy for him gave way, and others of the regiment, who treated her with more distinction, again became her favourites.”",Austen,human,112,The Impact of Childhood Trauma,human_0166
"Society has claims on us all; and I profess myself one of those who consider intervals of recreation and amusement as desirable for everybody.” Elizabeth's spirits were so high on the occasion, that though she did not often speak unnecessarily to Mr. Collins, she could not help asking him whether he intended to accept Mr. Bingley's invitation, and if he did, whether he would think it proper to join in the evening's amusement; and she was rather surprised to find that he entertained no scruple whatever on that head, and was very far from dreading a rebuke, either from the Archbishop or Lady Catherine de Bourgh, by venturing to dance.",Austen,human,110,Appearance Versus Reality,human_0167
"I cannot conceive why everybody of his standing who visited at our house should always have put me through the same inflammatory process under similar circumstances. Yet I do not call to mind that I was ever in my earlier youth the subject of remark in our social family circle, but some large-handed person took some such ophthalmic steps to patronise me. All this while, the strange man looked at nobody but me, and looked at me as if he were determined to have a shot at me at last, and bring me down. But he said nothing after offering his Blue Blazes observation, until the glasses of rum and water were brought; and then he made his shot, and a most extraordinary shot it was.",Dickens,human,126,The Power of Social Expectations,human_0168
"Never, even in the company of his dear friends at Netherfield, or his dignified relations at Rosings, had she seen him so desirous to please, so free from self-consequence or unbending reserve, as now, when no importance could result from the success of his endeavours, and when even the acquaintance of those to whom his attentions were addressed, would draw down the ridicule and censure of the ladies both of Netherfield and Rosings. Their visitors stayed with them above half an hour; and when they arose to depart, Mr. Darcy called on his sister to join him in expressing their wish of seeing Mr. and Mrs. Gardiner, and Miss Bennet, to dinner at Pemberley, before they left the country.",Austen,human,119,Moral Development and Redemption,human_0169
"When she thought of her mother, indeed, her confidence gave way a little; but she would not allow that any objections there had material weight with Mr. Darcy, whose pride, she was convinced, would receive a deeper wound from the want of importance in his friend's connections than from their want of sense; and she was quite decided, at last, that he had been partly governed by this worst kind of pride, and partly by the wish of retaining Mr. Bingley for his sister. The agitation and tears which the subject occasioned brought on a headache; and it grew so much worse towards the evening that, added to her unwillingness to see Mr. Darcy, it determined her not to attend her cousins to Rosings, where they were engaged to drink tea.",Austen,human,131,Social Class and Mobility,human_0170
"His present pursuit could not make him forget that Elizabeth had been the first to excite and to deserve his attention, the first to listen and to pity, the first to be admired; and in his manner of bidding her adieu, wishing her every enjoyment, reminding her of what she was to expect in Lady Catherine de Bourgh, and trusting their opinion of her--their opinion of everybody--would always coincide, there was a solicitude, an interest, which she felt must ever attach her to him with a most sincere regard; and she parted from him convinced, that, whether married or single, he must always be her model of the amiable and pleasing.",Austen,human,111,The Importance of Reputation,human_0171
"He hoped that with intelligent assistance I should meet with little to discourage me, and should soon be able to dispense with any aid but his. Through his way of saying this, and much more to similar purpose, he placed himself on confidential terms with me in an admirable manner; and I may state at once that he was always so zealous and honourable in fulfilling his compact with me, that he made me zealous and honourable in fulfilling mine with him. If he had shown indifference as a master, I have no doubt I should have returned the compliment as a pupil; he gave me no such excuse, and each of us did the other justice.",Dickens,human,117,Family Duty and Loyalty,human_0172
"Her nose wants character; there is nothing marked in its lines. Her teeth are tolerable, but not out of the common way; and as for her eyes, which have sometimes been called so fine, I never could perceive anything extraordinary in them. They have a sharp, shrewish look, which I do not like at all; and in her air altogether, there is a self-sufficiency without fashion, which is intolerable.” Persuaded as Miss Bingley was that Darcy admired Elizabeth, this was not the best method of recommending herself; but angry people are not always wise; and in seeing him at last look somewhat nettled, she had all the success she expected.",Austen,human,110,The Impact of Childhood Trauma,human_0173
"As that was the case, neither Jane, to whom I related the whole, nor I, thought it necessary to make our knowledge public; for of what use could it apparently be to anyone, that the good opinion, which all the neighbourhood had of him, should then be overthrown? And even when it was settled that Lydia should go with Mrs. Forster, the necessity of opening her eyes to his character never occurred to me. That she could be in any danger from the deception never entered my head. That such a consequence as this should ensue, you may easily believe was far enough from my thoughts.”",Austen,human,106,Family Duty and Loyalty,human_0174
"The consequence of it is, that Lady Lucas will have a daughter married before I have, and that Longbourn estate is just as much entailed as ever. The Lucases are very artful people, indeed, sister. They are all for what they can get. I am sorry to say it of them, but so it is. It makes me very nervous and poorly, to be thwarted so in my own family, and to have neighbours who think of themselves before anybody else. However, your coming just at this time is the greatest of comforts, and I am very glad to hear what you tell us of long sleeves.”",Austen,human,107,The Impact of Childhood Trauma,human_0175
"I now fell into a regular routine of apprenticeship life, which was varied beyond the limits of the village and the marshes, by no more remarkable circumstance than the arrival of my birthday and my paying another visit to Miss Havisham. I found Miss Sarah Pocket still on duty at the gate; I found Miss Havisham just as I had left her, and she spoke of Estella in the very same way, if not in the very same words. The interview lasted but a few minutes, and she gave me a guinea when I was going, and told me to come again on my next birthday.",Dickens,human,106,The Power of Social Expectations,human_0176
"She was wild to be at home--to hear, to see, to be upon the spot to share with Jane in the cares that must now fall wholly upon her, in a family so deranged; a father absent, a mother incapable of exertion, and requiring constant attendance; and though almost persuaded that nothing could be done for Lydia, her uncle's interference seemed of the utmost importance, and till he entered the room the misery of her impatience was severe. Mr. and Mrs. Gardiner had hurried back in alarm, supposing, by the servant's account, that their niece was taken suddenly ill; but satisfying them instantly on that head, she eagerly communicated the cause of their summons, reading the two letters aloud, and dwelling on the postscript of the last with trembling energy.",Austen,human,130,Appearance Versus Reality,human_0177
"Sir William and Lady Lucas were speedily applied to for their consent; and it was bestowed with a most joyful alacrity. Mr. Collins's present circumstances made it a most eligible match for their daughter, to whom they could give little fortune; and his prospects of future wealth were exceedingly fair. Lady Lucas began directly to calculate, with more interest than the matter had ever ] excited before, how many years longer Mr. Bennet was likely to live; and Sir William gave it as his decided opinion, that whenever Mr. Collins should be in possession of the Longbourn estate, it would be highly expedient that both he and his wife should make their appearance at St. James's.",Austen,human,116,Family Duty and Loyalty,human_0178
"We thought it best that he should stay in his own rooms; and we left him on the landing outside his door, holding a light over the stair-rail to light us downstairs. Looking back at him, I thought of the first night of his return, when our positions were reversed, and when I little supposed my heart could ever be as heavy and anxious at parting from him as it was now. Old Barley was growling and swearing when we repassed his door, with no appearance of having ceased or of meaning to cease. When we got to the foot of the stairs, I asked Herbert whether he had preserved the name of Provis.",Dickens,human,114,Appearance Versus Reality,human_0179
"While going along, the strange gentleman occasionally looked at me, and occasionally bit the side of his finger. As we neared home, Joe vaguely acknowledging the occasion as an impressive and ceremonious one, went on ahead to open the front door. Our conference was held in the state parlour, which was feebly lighted by one candle. It began with the strange gentleman's sitting down at the table, drawing the candle to him, and looking over some entries in his pocket-book. He then put up the pocket-book and set the candle a little aside, after peering round it into the darkness at Joe and me, to ascertain which was which.",Dickens,human,109,Moral Development and Redemption,human_0180
"As for Elizabeth herself, this invitation was so far from exciting in her the same feelings as in her mother and Lydia, that she considered it as the death-warrant of all possibility of common sense for the latter; and detestable as such a step must make her, were it known, she could not help secretly advising her father not to let her go. She represented to him all the improprieties of Lydia's general behaviour, the little advantage she could derive from the friendship of such a woman as Mrs. Forster, and the probability of her being yet more imprudent with such a companion at Brighton, where the temptations must be greater than at home.",Austen,human,114,The Power of Social Expectations,human_0181
